date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap
2025-05-20,6669,緯穎,2300.0,2250127.0,51.75,2249.88,2108.25,2106.29,surge,2025-05-02,12,0.816,A,427433840000
2025-05-20,2345,智邦,704.0,3192502.0,22.48,676.43,645.46,639.8,surge,2025-04-29,14,0.739,A,395027001600
2025-05-20,2357,華碩,632.0,3019832.0,19.09,599.02,598.72,597.67,surge,2025-04-25,16,0.843,A,469424509600
2025-05-20,2059,川湖,2010.0,1248495.0,25.09,1952.35,1810.22,1681.26,surge,2025-04-25,16,0.816,A,191547171000
2025-05-21,2615,萬海,115.0,77226103.0,88.81,95.15,87.11,84.43,surge,2025-05-16,3,0.748,A,322706836000
2025-05-21,2603,長榮,256.5,20529870.0,52.66,229.22,219.35,215.06,gap,2025-05-13,6,0.808,A,555333529500
2025-05-21,2609,陽明,83.3,59784492.0,49.8,75.61,73.19,72.0,gap,2025-05-13,6,0.846,A,290892288190
2025-05-21,2383,台光電,720.0,9676436.0,69.67,678.25,617.04,580.2,surge,2025-05-08,9,0.789,A,257991192000
2025-05-21,6669,緯穎,2345.0,1170955.0,27.46,2258.94,2116.01,2110.23,surge,2025-05-02,13,0.803,A,435796676000
2025-05-21,2345,智邦,735.0,6352540.0,46.69,682.01,648.39,641.37,surge,2025-04-29,15,0.711,A,412421656500
2025-05-21,2357,華碩,628.0,2803334.0,17.6,601.78,599.68,598.17,surge,2025-04-25,17,0.849,A,466453468400
2025-05-21,2059,川湖,2050.0,542646.0,11.12,1961.65,1818.08,1687.35,surge,2025-04-25,17,0.799,A,195359055000
2025-05-22,2615,萬海,126.5,109049142.0,137.95,98.13,88.4,85.13,surge,2025-05-22,0,0.724,A,354977519600
2025-05-22,2603,長榮,260.0,29888144.0,77.71,232.15,220.69,215.8,gap,2025-05-13,7,0.799,A,562911180000
2025-05-22,2609,陽明,86.9,178996807.0,155.55,76.69,73.64,72.25,gap,2025-05-13,7,0.812,A,303463863670
2025-05-22,2383,台光電,714.0,4144141.0,29.59,681.65,620.22,582.41,surge,2025-05-08,10,0.805,A,255841265400
2025-05-22,6669,緯穎,2340.0,1129206.0,26.42,2266.66,2123.36,2114.03,surge,2025-05-02,14,0.813,A,434867472000
2025-05-22,2345,智邦,743.0,4595935.0,34.15,687.82,651.49,643.05,surge,2025-04-29,16,0.717,A,416910599700
2025-05-22,2059,川湖,2130.0,1264798.0,26.94,1977.69,1828.31,1694.67,surge,2025-04-25,18,0.785,A,202982823000
2025-05-23,2615,萬海,126.5,186870400.0,236.39,100.84,89.65,85.81,surge,2025-05-22,1,0.728,A,354977519600
2025-05-23,2603,長榮,256.0,27921207.0,71.48,234.42,221.84,216.47,gap,2025-05-13,8,0.812,A,554251008000
2025-05-23,2609,陽明,83.7,157042134.0,131.44,77.35,73.97,72.44,gap,2025-05-13,8,0.842,A,292289129910
2025-05-23,2383,台光電,710.0,5734837.0,40.72,684.35,623.17,584.52,surge,2025-05-08,11,0.818,A,254407981000
2025-05-23,6669,緯穎,2280.0,2052092.0,46.79,2267.93,2128.49,2116.78,surge,2025-05-02,15,0.834,A,423717024000
2025-05-23,2345,智邦,726.0,4147955.0,30.11,691.45,653.94,644.42,surge,2025-04-29,17,0.745,A,407371595400
2025-05-23,2059,川湖,2095.0,729782.0,15.29,1988.86,1837.05,1701.29,surge,2025-04-25,19,0.8,A,199647424500
2025-05-26,2615,萬海,117.0,105505393.0,123.44,102.37,90.55,86.33,surge,2025-05-22,2,0.792,A,328319128800
2025-05-26,2603,長榮,253.0,11250473.0,28.46,236.19,222.86,217.07,gap,2025-05-13,9,0.823,A,547755879000
2025-05-26,2609,陽明,83.0,55414145.0,45.99,77.89,74.26,72.61,gap,2025-05-13,9,0.849,A,289844656900
2025-05-26,2383,台光電,707.0,3466020.0,24.5,686.51,625.91,586.55,surge,2025-05-08,12,0.833,A,253333017700
2025-05-26,6669,緯穎,2370.0,2953839.0,70.01,2277.65,2136.41,2120.96,surge,2025-05-02,16,0.806,A,440442696000
2025-05-26,2345,智邦,727.0,3504336.0,25.48,694.84,656.33,645.78,surge,2025-04-29,18,0.761,A,407932713300
2025-05-27,2615,萬海,118.0,110142241.0,129.97,103.86,91.45,86.85,surge,2025-05-22,3,0.79,A,331125275200
2025-05-27,2603,長榮,253.0,15762398.0,39.88,237.79,223.85,217.67,gap,2025-05-13,10,0.825,A,547755879000
