date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap,exit_10pct_date,max_return_20d,ema20_cross_date,first_r_date
2024-03-07,2330,台積電,760.0,80382406.0,610.91,700.79,647.81,610.99,gap,2024-02-15,14,0.839,A,19708718620000,,3.95,2024-01-17,False
2024-03-07,2376,技嘉,359.0,15009357.0,53.88,340.08,303.32,280.59,gap,2024-02-15,14,0.879,A,240490115100,2024-03-14,0.28,2024-01-10,False
2024-03-07,2383,台光電,522.0,11102086.0,57.95,493.4,449.04,414.93,gap,2024-02-15,14,0.889,A,187043614200,2024-03-12,-4.98,2024-01-10,False
2024-03-08,2454,聯發科,1230.0,16879880.0,207.62,1098.38,1006.38,934.45,surge,2024-02-23,9,0.785,A,1972812006000,,-0.41,2024-02-19,False
2024-03-08,2330,台積電,784.0,98069174.0,768.86,708.71,652.28,613.85,gap,2024-02-15,15,0.811,A,20331099208000,,4.46,2024-01-17,False
2024-03-08,2376,技嘉,358.0,31045740.0,111.14,341.79,305.12,281.87,gap,2024-02-15,15,0.892,A,239820226200,2024-03-14,0.56,2024-01-10,False
2024-03-11,2454,聯發科,1225.0,5890017.0,72.15,1110.44,1013.55,939.26,surge,2024-02-23,10,0.788,A,1964792445000,,-0.82,2024-02-19,False
2024-03-11,2330,台積電,766.0,73436931.0,562.53,714.17,656.0,616.37,gap,2024-02-15,16,0.828,A,19864313767000,,6.92,2024-01-17,False
2024-03-11,2376,技嘉,360.0,25253697.0,90.91,343.52,306.92,283.16,gap,2024-02-15,16,0.898,A,241160004000,2024-03-14,-1.39,2024-01-10,False
2024-03-12,2317,鴻海,119.0,351300080.0,418.05,107.2,105.04,104.35,surge,2024-03-12,0,0.873,A,1666404980800,,33.61,2024-03-08,True
2024-03-12,2454,聯發科,1215.0,5763673.0,70.03,1120.4,1020.15,943.81,surge,2024-02-23,11,0.794,A,1948753323000,,0.0,2024-02-19,False
2024-03-12,2330,台積電,770.0,63336798.0,487.69,719.48,659.74,618.91,gap,2024-02-15,17,0.826,A,19968043865000,,6.49,2024-01-17,False
2024-03-13,2317,鴻海,120.5,345545874.0,416.38,108.47,105.55,104.62,surge,2024-03-12,1,0.863,A,1687410085600,,31.95,2024-03-08,False
2024-03-13,2454,聯發科,1215.0,7058092.0,85.76,1129.41,1026.54,948.3,surge,2024-02-23,12,0.798,A,1948753323000,,-1.23,2024-02-19,False
2024-03-13,2330,台積電,779.0,43130896.0,335.99,725.15,663.65,621.55,gap,2024-02-15,18,0.822,A,20201436585500,,5.26,2024-01-17,False
2024-03-14,1519,華城,634.0,23486977.0,148.91,527.43,444.91,372.42,surge,2024-03-14,0,0.829,A,200268427200,,49.21,2024-03-08,True
2024-03-14,2834,臺企銀,16.55,137631686.0,22.78,14.37,13.84,13.68,gap,2024-03-14,0,0.842,A,160833922790,,-1.21,2024-02-23,True
2024-03-14,2317,鴻海,121.0,197698899.0,239.22,109.66,106.06,104.89,surge,2024-03-12,2,0.86,A,1694411787200,,31.4,2024-03-08,False
2024-03-14,2454,聯發科,1150.0,13127561.0,150.97,1131.37,1030.59,951.63,surge,2024-02-23,13,0.847,A,1844499030000,,4.35,2024-02-19,False
2024-03-14,2330,台積電,784.0,48964017.0,383.88,730.76,667.6,624.24,gap,2024-02-15,19,0.824,A,20331099208000,,4.59,2024-01-17,False
2024-03-15,2317,鴻海,132.0,407962863.0,538.51,111.79,106.91,105.34,gap,2024-03-15,0,0.808,A,1848449222400,,20.45,2024-03-08,False
